#,	汉字,	Unicode,	普通话读音
7956,	斶,	U+65B6	,chù
7957,	艚,	U+825A	,cáo
7958,	𬸪,	U+2CE2A,	fán
7959,	谿,	U+8C3F	,xī
7960,	䲠,	U+4CA0	,chūn
7961,	𬶟,	U+2CD9F,	là
7962,	鲾,	U+9CBE	,bī
7963,	𬶠,	U+2CDA0,	liàn
7964,	鲿,	U+9CBF	,cháng
7965,	鳁,	U+9CC1	,wēn
7966,	鳂,	U+9CC2	,wēi
7967,	鳈,	U+9CC8	,quán
7968,	鳉,	U+9CC9	,jiāng
7969,	獯,	U+736F	,xūn
7970,	䗪,	U+45EA	,zhè
7971,	馘,	U+9998	,guó
7972,	襕,	U+8955	,lán
7973,	襚,	U+895A	,suì
7974,	𬶨,	U+2CDA8,	jì
7975,	螱,	U+87B1	,wèi
7976,	甓,	U+7513	,pì
7977,	嬬,	U+5B2C	,rú
7978,	嬥,	U+5B25	,tiǎo
7979,	𦈡,	U+26221,	xū
7980,	𫄸,	U+2B138,	xūn
7981,	瓀,	U+74C0	,ruǎn
7982,	釐,	U+91D0	,xī
7983,	鬶,	U+9B36	,guī
7984,	爇,	U+7207	,ruò
7985,	鞳,	U+97B3	,tà
7986,	鞮,	U+97AE	,dī
7987,	𬟁,	U+2C7C1,	yì
7988,	藟,	U+85DF	,lěi
7989,	藦,	U+85E6	,mó
7990,	藨,	U+85E8	,biāo
7991,	鹲,	U+9E72	,méng
7992,	檫,	U+6AAB	,chá
7993,	黡,	U+9EE1	,yǎn
7994,	礞,	U+791E	,méng
7995,	礌,	U+790C	,léi
7996,	𥖨,	U+255A8,	zào
7997,	蹢,	U+8E62	,dí
7998,	蹜,	U+8E5C	,sù
7999,	蟫,	U+87EB	,yín
8000,	䗴,	U+45F4	,tíng
8001,	嚚,	U+569A	,yín
8002,	髃,	U+9AC3	,yú
8003,	镮,	U+956E	,huán
8004,	镱,	U+9571	,yì
8005,	酂,	U+9142	,zàn
8006,	馧,	U+99A7	,yūn
8007,	簠,	U+7C20	,fǔ
8008,	簝,	U+7C1D	,liáo
8009,	簰,	U+7C30	,pái
8010,	鼫,	U+9F2B	,shí
8011,	鼩,	U+9F29	,qú
8012,	皦,	U+76A6	,jiǎo
8013,	臑,	U+81D1	,nào
8014,	䲢,	U+4CA2	,téng
8015,	鳑,	U+9CD1	,páng
8016,	鳒,	U+9CD2	,jiān
8017,	鹱,	U+9E71	,hù
8018,	鹯,	U+9E6F	,zhān
8019,	癗,	U+7657	,lěi
8020,	𦒍,	U+2648D,	tóng
8021,	旞,	U+65DE	,suì
8022,	翷,	U+7FF7	,lín
8023,	冁,	U+5181	,chǎn
8024,	䎖,	U+4396	,zēng
8025,	瀔,	U+7014	,gǔ
8026,	瀍,	U+700D	,chán
8027,	瀌,	U+700C	,biāo
8028,	襜,	U+895C	,chān
8029,	䴙,	U+4D19	,pì
8030,	𬙊,	U+2C64A,	mò
8031,	嚭,	U+56AD	,pǐ
8032,	㰀,	U+3C00	,lí
8033,	鬷,	U+9B37	,zōng
8034,	醭,	U+91AD	,bú
8035,	蹯,	U+8E6F	,fán
8036,	蠋,	U+880B	,zhú
8037,	翾,	U+7FFE	,xuān
8038,	鳘,	U+9CD8	,mǐn
8039,	儳,	U+5133	,chán
8040,	儴,	U+5134	,ráng
8041,	鼗,	U+9F17	,táo
8042,	𬶭,	U+2CDAD,	jì
8043,	𩾌,	U+29F8C,	kāng
8044,	鳚,	U+9CDA	,wèi
8045,	鳛,	U+9CDB	,xí
8046,	麑,	U+9E91	,ní
8047,	麖,	U+9E96	,jīng
8048,	蠃,	U+8803	,luǒ
8049,	彟,	U+5F5F	,yuē
8050,	嬿,	U+5B3F	,yàn
8051,	鬒,	U+9B12	,zhěn
8052,	蘘,	U+8618	,ráng
8053,	欂,	U+6B02	,bó
8054,	醵,	U+91B5	,jù
8055,	颥,	U+98A5	,rú
8056,	甗,	U+7517	,yǎn
8057,	𨟠,	U+287E0,	quān
8058,	巇,	U+5DC7	,xī
8059,	酅,	U+9145	,xī
8060,	髎,	U+9ACE	,liáo
8061,	犨,	U+72A8	,chōu
8062,	𬶮,	U+2CDAE,	xǐ
8063,	𨭉,	U+28B49,	bān
8064,	㸌,	U+3E0C	,huò
8065,	爔,	U+7214	,xī
8066,	瀱,	U+7031	,jì
8067,	瀹,	U+7039	,yuè
8068,	瀼,	U+703C	,ráng，ràng
8069,	瀵,	U+7035	,fèn
8070,	襫,	U+896B	,shì
8071,	孅,	U+5B45	,xiān
8072,	骦,	U+9AA6	,shuāng
8073,	𬙋,	U+2C64B,	xiāng
8074,	耰,	U+8030	,yōu
8075,	𤫉,	U+24AC9,	xiè
8076,	瓖,	U+74D6	,xiāng
8077,	鬘,	U+9B18	,mán
8078,	趯,	U+8DAF	,tì
8079,	𬺓,	U+2CE93,	chǔ
8080,	罍,	U+7F4D	,léi
8081,	鼱,	U+9F31	,jīng
8082,	鳠,	U+9CE0	,hù
8083,	鳡,	U+9CE1	,gǎn
8084,	鳣,	U+9CE3	,zhān
8085,	爟,	U+721F	,guàn
8086,	爚,	U+721A	,yuè
8087,	灈,	U+7048	,qú
8088,	韂,	U+97C2	,chàn
8089,	糵,	U+7CF5	,niè
8090,	蘼,	U+863C	,mí
8091,	礵,	U+7935	,shuāng
8092,	鹴,	U+9E74	,shuāng
8093,	躔,	U+8E94	,chán
8094,	皭,	U+76AD	,jiào
8095,	龢,	U+9FA2	,hé
8096,	鳤,	U+9CE4	,guǎn
8097,	亹,	U+4EB9	,wěi
8098,	籥,	U+7C65	,yuè
8099,	鼷,	U+9F37	,xī
8100,	𫚭,	U+2B6AD,	liè
8101,	玃,	U+7383	,jué
8102,	醾,	U+91BE	,mí
8103,	齇,	U+9F47	,zhā
8104,	觿,	U+89FF	,xī
8105,	蠼,	U+883C	,qú
